model_tag,aux_pair,distance_bucket,role,layer,real_mean,rand_mean,n
phi2,be_present,long,filler_after_distractor,20,1.1563520018259685,0.06471134291754829,100
phi2,be_present,long,filler_after_distractor,21,1.1826248200734457,0.05021084785461426,100
phi2,be_present,long,filler_after_distractor,22,1.625085940890842,-0.016597191492716473,100
phi2,be_present,long,filler_after_distractor,23,0.8155629889170328,0.027396492428249784,100
phi2,be_present,long,filler_after_distractor,24,0.7176767169104682,0.007669807010226779,100
phi2,be_present,long,filler_after_distractor,25,0.5786060174306233,-0.07005440182156034,100
phi2,be_present,long,filler_after_distractor,26,0.32258197996351456,0.008059411578708224,100
phi2,be_present,long,filler_after_distractor,27,0.33615834024217395,-0.011141301261054145,100
phi2,be_present,long,filler_after_distractor,28,0.11269605530632867,0.0034896956549750435,100
phi2,be_present,long,filler_after_distractor,29,0.035602857801649304,-0.0043807156880696614,100
phi2,be_present,long,filler_after_distractor,30,0.00487381723192003,-0.024585804409450955,100
phi2,be_present,long,filler_after_distractor,31,0.0,0.0,100
phi2,be_present,long,final,1,0.21940064430236816,-0.0015844440460205079,100
phi2,be_present,long,final,2,0.1858155059814453,0.12354281425476074,100
phi2,be_present,long,final,3,0.10202808380126953,0.031391477584838866,100
phi2,be_present,long,final,4,0.5725230598449706,0.005414810180664063,100
phi2,be_present,long,final,5,0.3697548580169678,0.06382165908813477,100
phi2,be_present,long,final,6,0.6704354190826416,0.10305610656738282,100
phi2,be_present,long,final,7,1.0615380001068115,0.0920332145690918,100
phi2,be_present,long,final,8,1.5591281700134276,-0.11527361869812011,100
phi2,be_present,long,final,9,1.8068550968170165,0.0987873363494873,100
phi2,be_present,long,final,10,1.4974523639678956,0.09965587615966796,100
phi2,be_present,long,final,11,1.8803742599487305,-0.013170528411865234,100
phi2,be_present,long,final,12,2.044654121398926,-0.08143925666809082,100
phi2,be_present,long,final,13,2.371238317489624,0.2697679233551025,100
phi2,be_present,long,final,14,2.942017297744751,-0.19167190551757812,100
phi2,be_present,long,final,15,3.092395715713501,0.2066042137145996,100
phi2,be_present,long,final,16,3.705522508621216,0.07327508926391602,100
phi2,be_present,long,final,17,3.889731140136719,-0.4372428512573242,100
phi2,be_present,long,final,18,3.9730118465423585,-0.1556675624847412,100
phi2,be_present,long,final,19,5.604915494918823,-0.6513661479949951,100
phi2,be_present,long,final,20,5.781955795288086,0.5049827861785888,100
phi2,be_present,long,final,21,6.5801802921295165,0.06511797904968261,100
phi2,be_present,long,final,22,6.664938488006592,0.001296873092651367,100
phi2,be_present,long,final,23,7.669666538238525,-0.28610520362854003,100
phi2,be_present,long,final,24,8.000763940811158,-0.055989313125610354,100
phi2,be_present,long,final,25,8.368743600845336,-1.9123519325256348,100
phi2,be_present,long,final,26,8.277938451766968,0.3937008190155029,100
phi2,be_present,long,final,27,8.671964569091797,0.42323176383972166,100
phi2,be_present,long,final,28,8.059041175842285,-0.030646467208862306,100
phi2,be_present,long,final,29,8.87663465499878,0.23366604804992674,100
phi2,be_present,long,final,30,9.069727096557617,0.5206024074554443,100
phi2,be_present,long,final,31,3.0830131435394286,0.2160355281829834,100
phi2,be_present,long,prefix_before_subject,1,0.0225351619720459,-0.013536090850830079,100
phi2,be_present,long,prefix_before_subject,2,-0.023205146789550782,-0.021611175537109374,100
